id;account_number;accoun_type;opening_date;balance
1;PCI program;Savings;2022-01-10T23:49:24;3758
2;payment Falls;Savings;2022-01-11T15:04:49;77392
3;Dollar Lead;Checking;2022-01-11T00:28:39;88990
4;access Bacon explicit;Savings;2022-01-11T10:26:00;38972
5;Implementation partnerships Computer;Checking;2022-01-11T21:27:15;58253
6;gold;Checking;2022-01-11T16:33:08;16220
7;Awesome;Checking;2022-01-11T20:51:29;94313
8;Kids;Savings;2022-01-11T13:35:35;77377
9;Assurance;Checking;2022-01-11T08:55:58;46856
10;evolve;Savings;2022-01-11T15:15:45;39202
